date,PM2dot5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed
01-Jan-2019 - 00:00,151.12,515.67,56.88,54.95,75.44,74.42,18.54,2.51,27.43,0.64
02-Jan-2019 - 00:00,257.21,625.6,58.9,73.14,86.91,81.71,21.16,3,31.07,0.84
03-Jan-2019 - 00:00,141.07,515.14,22.73,44.5,42.12,75.25,16.18,2.02,17.08,0.97
04-Jan-2019 - 00:00,222.49,383.3,18.52,36.1,34.29,53.2,15.61,1.88,12.88,0.8
05-Jan-2019 - 00:00,309.92,494.91,18.4,58.23,45.92,49.8,15.43,2.1,3.63,1.33
06-Jan-2019 - 00:00,178.92,255.56,4.85,39.76,25.1,44.77,14.52,1.19,3.57,1.32
07-Jan-2019 - 00:00,204.94,300.45,15.61,39.95,33.97,39.97,14.96,1.39,3.67,0.9
08-Jan-2019 - 00:00,182.73,266.65,9.87,35.62,26.99,40.14,16.14,1.22,17.8,0.93
09-Jan-2019 - 00:00,194.78,293.29,9.59,37.75,27.9,37.17,17.67,1.31,24.82,1.04
10-Jan-2019 - 00:00,249.77,348.72,37.37,42.84,53.23,38.09,19.05,1.92,26.69,0.79
11-Jan-2019 - 00:00,395.12,517.52,78.45,66.42,99.35,57.34,19.48,3.2,31.39,0.61
12-Jan-2019 - 00:00,449.05,648.86,59.37,100.82,102,77.45,17.95,3.1,37.28,0.64
13-Jan-2019 - 00:00,277.81,402.38,15.01,50.84,39.4,64.17,17.81,1.66,48.04,1.16
14-Jan-2019 - 00:00,132.35,200.58,4.25,38.07,23.68,41.37,16.35,0.88,40.35,1.26
15-Jan-2019 - 00:00,203.04,290.33,25.36,47.15,45.7,39.67,20.44,1.41,29.69,1.01
16-Jan-2019 - 00:00,397.05,564.36,60.57,85.85,95.37,61.01,20.03,2.83,29.2,0.68
17-Jan-2019 - 00:00,453.2,586.89,70.32,68.68,93.88,69.43,17.25,2.39,37.19,0.7
18-Jan-2019 - 00:00,289.05,421.98,28.47,56.16,53.09,50.83,12.3,1.71,27.17,0.81
19-Jan-2019 - 00:00,333.94,477.66,54.63,66.45,79.86,50.28,17.61,2.14,36.4,0.72
20-Jan-2019 - 00:00,369.44,577.85,79.13,110.46,123.31,70.71,17.36,3.15,52.2,0.6
21-Jan-2019 - 00:00,236.15,427.64,32.11,65.27,60.86,71.52,16.07,1.78,41.82,2.38
22-Jan-2019 - 00:00,64.86,76.11,2.68,41.82,24.42,36.73,10.99,0.76,35.19,1.79
23-Jan-2019 - 00:00,144.26,206.27,18.62,43.21,38.15,35.77,13.91,1.18,17.82,0.74
24-Jan-2019 - 00:00,132.48,207.18,4.45,37.61,23.63,38.46,15.44,0.88,34.46,1.42
25-Jan-2019 - 00:00,122.5,166.51,2.74,35.25,20.99,34.69,15.78,0.71,41.04,1.38
26-Jan-2019 - 00:00,152.3,205.89,1.76,33.38,19.19,31.15,16.21,0.69,41.29,1.17
27-Jan-2019 - 00:00,167.75,222.71,5.95,40.88,26.6,31.18,15.84,0.85,32.16,1.23
28-Jan-2019 - 00:00,165.76,240.43,8.67,42.38,29.59,31.87,15.31,0.9,37.33,1.26
29-Jan-2019 - 00:00,203.52,314.79,19.13,48.3,41.29,35.14,19.07,1.13,33.9,1.12
30-Jan-2019 - 00:00,273.81,395.42,33.9,60.96,60.02,44.39,19.21,1.66,35.65,0.79
31-Jan-2019 - 00:00,231.05,404.77,20.18,62.01,49.44,51.18,14.71,1.57,33.04,1.36
01-Feb-2019 - 00:00,225.21,301.73,10.28,45.5,32.58,53.29,12.48,1.18,23.59,1.15
02-Feb-2019 - 00:00,189.27,264.69,2.9,26.18,16.3,41.24,11.05,0.95,26.85,1.1
03-Feb-2019 - 00:00,142.03,209.92,9.39,29.4,23.28,35.69,10.85,0.8,34.2,0.99
04-Feb-2019 - 00:00,193.34,258.26,32.04,50.05,52.71,32.65,14.96,1.88,35.18,0.87
05-Feb-2019 - 00:00,336.48,433.18,55.28,75.35,85.21,60.51,17.99,2.56,44.31,0.95
06-Feb-2019 - 00:00,229.1,309.18,51.55,61.13,74.54,82.32,14.94,2.11,48.34,1.62
07-Feb-2019 - 00:00,80.4,129,1.16,32.48,18.21,58.28,10.45,0.75,34.86,2.54
08-Feb-2019 - 00:00,89.4,153.43,8.33,36.68,26.31,32.38,12.77,0.7,34.16,1.02
09-Feb-2019 - 00:00,116.82,153.03,11.22,38.18,29.47,28.87,12.45,0.79,39.25,1.19
10-Feb-2019 - 00:00,188.92,210.14,21.66,49.04,43.88,36.5,15.96,1.13,33.87,0.82
11-Feb-2019 - 00:00,197.52,222.65,26.32,53.27,49.77,38.71,18.39,1.31,37.45,0.61
12-Feb-2019 - 00:00,214.45,322.34,15.94,58.77,44.25,47.23,29.46,1.37,53.58,0.83
13-Feb-2019 - 00:00,252.2,461.56,32.45,89.2,73.87,60.85,20.77,2.05,44.4,0.63
14-Feb-2019 - 00:00,179.29,259.45,16.22,62.67,46.59,58.18,14.96,1.43,33.6,1.76
15-Feb-2019 - 00:00,141.46,200.23,6.78,35.26,24.3,44.22,15.17,1.06,24.21,0.98
16-Feb-2019 - 00:00,116.52,175.73,4.04,18.35,13.06,34.15,20.65,0.95,22.18,1.11
17-Feb-2019 - 00:00,107.92,182.21,5.03,31.4,20.85,31.08,24.01,0.99,36.74,1.12
18-Feb-2019 - 00:00,119.14,234.78,5.99,47.04,29.91,35.77,29.18,1.12,73.05,1.44
19-Feb-2019 - 00:00,156.98,289.25,22.07,49.08,44.1,47.76,21.46,1.43,40.53,0.69
20-Feb-2019 - 00:00,105.59,168.65,8.8,39.32,28.08,45.06,22.92,1.22,21.87,1.32
21-Feb-2019 - 00:00,90.03,233.29,25.51,42.48,43.42,42.3,26.65,1.38,42.63,1.38
22-Feb-2019 - 00:00,82.38,149.32,2.46,18.91,12.06,42.34,17.13,0.98,24.15,1.44
23-Feb-2019 - 00:00,95.82,154.1,4.98,29.89,19.96,30.29,26.9,1.08,39.1,1.32
24-Feb-2019 - 00:00,130.15,204.07,2.92,38.58,22.92,31.46,25.64,3.63,47.23,1.09
25-Feb-2019 - 00:00,107.52,215.46,20.24,45.77,40.87,36.32,22.49,3.07,65.14,1.1
26-Feb-2019 - 00:00,79.03,150.02,8.07,40.56,28.15,35.11,24.34,1.52,37.57,1.2
27-Feb-2019 - 00:00,82.7,152.17,2.41,42.68,24.67,26.37,21.48,1.09,24.68,1.66
28-Feb-2019 - 00:00,124.4,218.18,19.45,36.49,35.27,29.45,24.26,1.4,36.19,1.08
01-Mar-2019 - 00:00,120.04,202.54,10.14,40.8,29.97,28.54,22.87,0.85,40.34,1.1
02-Mar-2019 - 00:00,161.83,221.5,10.25,52.27,36.26,36.08,27.46,1.23,14.47,0.95
03-Mar-2019 - 00:00,81.71,100.46,7.26,37.82,26.07,33.34,20.4,1.05,44.74,1.08
04-Mar-2019 - 00:00,109.79,107.33,12.4,29.19,25.64,37.1,20.78,1.18,22,1.03
05-Mar-2019 - 00:00,88.88,147.17,10.68,28.85,24,30.16,21.54,0.57,28.4,1.13
06-Mar-2019 - 00:00,111.65,205.5,8.19,32.66,24.03,28.28,24.67,0.73,38.52,1.15
07-Mar-2019 - 00:00,135.59,248.16,12.88,35.59,29.43,31.04,29.23,0.6,50.18,0.99
08-Mar-2019 - 00:00,119.48,262.7,9.74,30.22,24.05,34.76,30.05,0.87,48.73,1.48
09-Mar-2019 - 00:00,91.68,179.27,5.09,24.77,17.34,33.74,26.85,0.53,39.9,1.6
10-Mar-2019 - 00:00,100.53,210.07,4.79,30.33,20.04,27.53,27.87,0.56,56.01,1.06
11-Mar-2019 - 00:00,93.69,256.2,5.16,33.65,22.09,33.63,25.95,0.74,64.78,2.14
12-Mar-2019 - 00:00,72.98,164.19,2.33,20.53,12.82,34.9,22.48,0.77,49.39,1.79
13-Mar-2019 - 00:00,108.86,309.12,11.81,38.52,30.18,35.11,20.61,1.06,43.51,1.05
14-Mar-2019 - 00:00,120.12,254.62,18.87,32.21,32.53,43.34,12.94,1.19,23.25,1.54
15-Mar-2019 - 00:00,97.33,213.3,9.85,24.76,20.89,34.21,16,0.93,30.02,1.33
16-Mar-2019 - 00:00,92.58,,3.08,24.91,15.78,26.8,15.44,1.35,49.51,1.28
17-Mar-2019 - 00:00,122.54,,4.23,26.36,17.46,27.79,20.96,0.99,51.97,1.24
18-Mar-2019 - 00:00,127.7,,9.71,33.7,25.84,30.63,20.02,1.14,46.26,0.95
19-Mar-2019 - 00:00,135.88,,13.85,37.27,31.07,30.94,21.66,1.27,42.97,1.04
20-Mar-2019 - 00:00,125.33,,15.91,37.1,32.71,38.16,20.06,1.43,60.27,1.6
21-Mar-2019 - 00:00,104.38,,1.83,13.13,8.48,42.21,16.81,1.14,49.8,1.45
22-Mar-2019 - 00:00,52.6,,1.97,15.35,9.6,28.12,14.64,0.82,61.66,1.97
23-Mar-2019 - 00:00,88.92,,1.84,18.34,11.26,27.1,18.57,0.71,57.81,1.75
24-Mar-2019 - 00:00,62.57,,2.43,14.29,9.58,26.27,15.72,0.65,47.27,1.81
25-Mar-2019 - 00:00,86.86,197.24,2.52,16.91,11.06,29.46,17.49,0.87,34.93,1.73
26-Mar-2019 - 00:00,115.64,217.85,6.46,26.78,19.52,28.85,18.44,0.66,48.01,1.48
