date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO
01-Jan-2019 - 00:00,269.38,337.67,106,53.6,114.66,59.62,12.07,3.39
02-Jan-2019 - 00:00,324.15,407.18,137.02,62.62,144.07,75.74,11.38,3.82
03-Jan-2019 - 00:00,348.8,436.04,66.22,46.85,78.62,39.16,9.28,3.32
04-Jan-2019 - 00:00,234.48,325.96,63.2,36.36,70.64,37.02,6.92,2.35
05-Jan-2019 - 00:00,248.26,341.89,95.24,44.43,99.5,54.73,7.69,2.51
06-Jan-2019 - 00:00,179,221.65,33.62,36.52,46.32,22.6,5.07,1.45
07-Jan-2019 - 00:00,190.27,244.69,51.32,38.12,61.98,32.38,7.76,1.64
08-Jan-2019 - 00:00,155.4,201.73,22.46,32.67,35.61,17.08,6.65,1.11
09-Jan-2019 - 00:00,134.38,185.06,19.12,31.99,28.76,15.22,7.4,1.07
10-Jan-2019 - 00:00,190.82,267.79,80.53,48.75,86.61,45.91,6.91,2.67
11-Jan-2019 - 00:00,301.24,398.3,220.97,76.67,220.43,119.73,None,4.57
12-Jan-2019 - 00:00,269.11,366.31,203.68,76.8,206.56,113.53,None,4.39
13-Jan-2019 - 00:00,None,None,72.13,51.8,85.9,47.29,None,2.32
14-Jan-2019 - 00:00,35.52,115.72,14.79,32.81,29.11,15.88,None,0.79
15-Jan-2019 - 00:00,132.22,173.14,48.52,38.69,39.42,31.39,None,1.43
16-Jan-2019 - 00:00,269.18,354.89,177.83,71.54,182.63,99.91,None,3.64
17-Jan-2019 - 00:00,393.68,509.41,137.91,58.4,141.72,92.5,None,3.76
18-Jan-2019 - 00:00,247.58,330.81,74.1,31.73,77.1,43.36,None,2.08
19-Jan-2019 - 00:00,271.11,361.7,115.18,48.47,119.41,67.22,None,2.85
20-Jan-2019 - 00:00,306.19,397.08,201.12,68.54,199.96,112.42,None,4.28
21-Jan-2019 - 00:00,172.69,211.28,97.74,38.97,72.45,57.59,None,1.79
22-Jan-2019 - 00:00,55.49,67.11,29.31,25.83,37.54,22.57,None,0.86
23-Jan-2019 - 00:00,157.28,209.47,84.9,29.81,84.88,47.47,None,1.83
24-Jan-2019 - 00:00,122.49,178.49,37.79,24.86,43.88,25.89,None,1.07
25-Jan-2019 - 00:00,80.18,112.86,15.31,20.74,23.39,14.86,None,0.65
26-Jan-2019 - 00:00,94.98,130.79,10.05,18.02,17.34,12.15,None,0.61
27-Jan-2019 - 00:00,118.39,151.01,11.46,18.43,19.04,12.19,None,0.73
28-Jan-2019 - 00:00,107.65,145.62,13.57,18.72,20.83,13.21,5.85,0.79
29-Jan-2019 - 00:00,132.31,180.72,20.06,21.27,27.53,16.86,5.82,1.04
30-Jan-2019 - 00:00,207.05,284.3,64.89,29.09,66.92,38.82,None,1.85
31-Jan-2019 - 00:00,206.29,272.56,143.46,41.21,60.62,76.36,None,2.11
01-Feb-2019 - 00:00,178.4,216.71,15.26,21.51,12.4,14.78,None,1.21
02-Feb-2019 - 00:00,182.62,223.22,12.04,19.95,20.32,13.3,None,1.06
03-Feb-2019 - 00:00,130.44,171.83,14.46,20.47,22.41,14.52,None,1.01
04-Feb-2019 - 00:00,149.31,198.57,49.21,31.23,56.56,33.45,None,1.67
05-Feb-2019 - 00:00,252.21,344.79,135.87,46.95,135.43,75.42,None,3.2
