date,PM2dot5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed
01-Jan-2019 - 00:00,407.94,581.72,66.69,100.93,146.2,73.21,23.52,2.98,20.38,0.3
02-Jan-2019 - 00:00,465.07,631.64,98.53,116.32,176.16,84.44,22.56,3.66,20.94,0.38
03-Jan-2019 - 00:00,437.71,605.65,37.34,91.1,114.19,98.68,18.9,3.13,19.11,0.47
04-Jan-2019 - 00:00,313.42,510.71,38.64,72.73,70.16,77.6,13.05,3.07,10.2,0.44
05-Jan-2019 - 00:00,295.88,502.12,61.34,78.75,89.64,72.41,17.32,3.1,21.11,0.72
06-Jan-2019 - 00:00,202.5,324.25,16.63,64.37,45.93,73.86,16.88,2.29,24.59,0.52
07-Jan-2019 - 00:00,247.04,412.22,30.15,69.73,61.68,79.37,19.39,2.66,16.93,0.56
08-Jan-2019 - 00:00,192,320.94,17.9,64.24,48.47,59.72,19.59,2.16,15.43,0.6
09-Jan-2019 - 00:00,193.83,316.17,21.87,66.99,51.25,44.12,21.74,1.81,19.16,0.73
10-Jan-2019 - 00:00,253.04,352.92,38.53,79.05,87.63,43.64,24.08,3.56,30.19,0.49
11-Jan-2019 - 00:00,346.74,477.17,100.66,92.05,162,63.06,19.56,2.45,29.67,0.23
12-Jan-2019 - 00:00,280.96,527.67,100.1,104.35,144.32,71.61,17.95,3.52,32.62,0.37
13-Jan-2019 - 00:00,259.42,481.21,44.27,82.04,88.78,93.42,21.01,3.67,32.81,0.62
14-Jan-2019 - 00:00,115.17,240.25,10.37,60.49,40.07,57.05,19.6,1.48,37.16,0.86
15-Jan-2019 - 00:00,160.16,303.49,30.99,72.64,63.9,54.77,22.51,2.05,30.91,0.62
16-Jan-2019 - 00:00,300.23,535.17,91.96,106.19,180.17,82.85,26.41,3.9,23.89,0.34
17-Jan-2019 - 00:00,349.2,595.61,75.34,106.11,124.99,98.77,23.37,3.21,26.35,0.46
18-Jan-2019 - 00:00,280.96,474.22,57.26,90.79,86.76,82.63,23.97,2.7,26.12,0.43
19-Jan-2019 - 00:00,399.14,482.12,106.9,99.03,141.65,90.94,29.23,3.89,30.69,0.26
20-Jan-2019 - 00:00,401.38,653.97,135.2,143.16,267.74,105.6,24.49,6.14,39.21,0.24
21-Jan-2019 - 00:00,216.21,379.44,69.54,80.37,104.66,83.27,24.65,1.72,53.86,1.23
22-Jan-2019 - 00:00,62.65,96.99,9.43,51.6,32.22,45.64,11.61,1.47,28.06,1.01
