date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed,,,,,,,,
01-Jan-2019 - 00:00,276.16,469.16,58.65,52.35,75.74,62.55,9.89,1.8,23.5,0.52,,,,,,,,
02-Jan-2019 - 00:00,350.55,589.98,82.21,83.39,111.4,72.36,12.06,2.33,15.81,0.74,,,,,,,,
03-Jan-2019 - 00:00,317.19,456.01,23.31,40.67,40.62,72.01,10.16,1.68,13.67,0.77,,,,,,,,
04-Jan-2019 - 00:00,231.07,375.8,39.11,27.59,46.61,59.81,9.44,1.67,8.25,0.73,,,,,,,,
05-Jan-2019 - 00:00,254.68,411.7,38.4,52.47,59.23,61.16,12.99,1.63,9.31,1.29,,,,,,,,
06-Jan-2019 - 00:00,154.81,246.38,7.63,25.58,19.45,59.17,11.45,1.07,17.24,1.14,,,,,,,,
07-Jan-2019 - 00:00,174.96,267.85,25.52,31.02,37.28,55.06,16.37,1.2,9.31,0.93,,,,,,,,
08-Jan-2019 - 00:00,143.48,224.45,13.52,25.68,24.66,50.85,11.94,1.01,11.72,0.97,,,,,,,,
09-Jan-2019 - 00:00,132.83,220.32,12.65,27.4,24.87,46.13,13.02,1.08,16.54,1.18,,,,,,,,
10-Jan-2019 - 00:00,181.23,281.85,51.02,35.99,60.71,45.4,17.27,1.43,17.99,0.75,,,,,,,,
11-Jan-2019 - 00:00,269.27,455.03,168.6,60.56,169.58,51.79,15.45,2.32,14.13,0.53,,,,,,,,
12-Jan-2019 - 00:00,343.49,547.78,121.81,95.29,150.66,61.1,17.92,2.27,9.99,0.61,,,,,,,,
13-Jan-2019 - 00:00,241.9,398.94,25.15,34.54,38.84,61.16,16.38,1.33,14.81,1.07,,,,,,,,
14-Jan-2019 - 00:00,93.25,164.04,8.28,18.53,16.61,41.42,12.59,0.88,15.19,1.41,,,,,,,,
15-Jan-2019 - 00:00,139.31,207.62,21.26,27.33,31.91,41.28,13.97,1.08,12.9,0.94,,,,,,,,
16-Jan-2019 - 00:00,287.1,468.27,153.19,62.58,158.34,50.28,19.51,2.1,14.36,0.68,,,,,,,,
