date,PM2dot5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed
01-Jan-2019 - 00:00,334.57,505.57,122.51,66.67,135.46,85.82,13.97,2.85,14.89,0.87
02-Jan-2019 - 00:00,357.48,546.75,127.59,62.86,137.47,99.23,12.81,2.96,16.17,0.77
03-Jan-2019 - 00:00,371.11,525.56,89.04,69.83,109.71,90.17,12.17,2.48,12.15,1.23
04-Jan-2019 - 00:00,314.3,473.55,82.87,64.92,102.09,85.9,11.42,2.87,9.99,0.94
05-Jan-2019 - 00:00,310.04,464.17,70.41,50.33,84.16,83.49,10.75,2.23,16.59,0.94
06-Jan-2019 - 00:00,202.98,283.33,37.66,49.74,57.18,80.99,9.47,1.73,14.57,1.11
07-Jan-2019 - 00:00,209.46,312.79,74.84,51.19,88.32,81.46,11.84,2.02,15.7,1.27
08-Jan-2019 - 00:00,179.9,272.21,51.26,48.12,67.4,73.07,9.08,1.57,14.65,1.16
09-Jan-2019 - 00:00,149.35,248.75,43.27,48.45,61.07,66.01,10.92,1.46,15.31,1.53
10-Jan-2019 - 00:00,169.67,281.1,82.88,57.17,97.98,55.81,12.85,2.03,17.36,1.08
11-Jan-2019 - 00:00,347.21,518.02,199.44,71.06,233.43,63.97,15.3,3.44,22.51,0.53
12-Jan-2019 - 00:00,350.31,515.1,213.19,72.3,212.07,68.01,12.91,3.15,20.13,0.75
13-Jan-2019 - 00:00,299.41,428.81,93.94,62.53,109.8,69.12,11.25,2.05,19.44,1.19
14-Jan-2019 - 00:00,92.77,177.85,20.14,46.2,40.98,43.68,10.51,0.92,14.41,1.66
15-Jan-2019 - 00:00,136.94,237.62,42.35,51.21,62.35,45.03,11.46,1.37,12.44,1.22
16-Jan-2019 - 00:00,304.23,468.58,157.59,61.42,161.48,60.65,15.37,2.53,13.81,0.72
17-Jan-2019 - 00:00,408.35,584.27,186.57,75.03,192.37,66.49,14.61,3.28,20.2,0.84
18-Jan-2019 - 00:00,238.02,369.21,73.61,63.78,93.99,54.49,11.2,2.06,10.61,1.03
