From Date,PM2dot5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind Speed
01-02-2018 00:00,260.58,504.32,26.72,73.75,94.57,48.01,24.38,1.97,None,0.73
02-02-2018 00:00,198.96,391.71,23.28,79.47,95.03,57.7,11.98,1.52,None,0.77
03-02-2018 00:00,190.42,388.17,26.08,77.89,91.11,54.5,10.53,1.45,None,0.87
04-02-2018 00:00,211.33,389.42,16.51,73.13,77.54,50.47,11.33,1.37,13.32,0.95
05-02-2018 00:00,268.17,483.92,23.17,76.73,92.64,52.75,15,1.72,12.56,0.66
06-02-2018 00:00,218.38,438.25,19.09,75.3,82.44,52.55,12.48,1.59,12.51,1.06
07-02-2018 00:00,227.67,424.88,20.05,74.37,80.07,48.12,11.75,1.56,12.44,0.97
08-02-2018 00:00,337.03,553.52,50.26,95.85,133.75,63.91,12.52,2.02,17.52,0.61
09-02-2018 00:00,325.28,532.85,45.01,115.84,129.91,69.87,11.15,1.85,15.79,0.64
10-02-2018 00:00,290.86,528.23,67.81,202.06,94.99,44.88,6.19,2.64,14.4,0.32
11-02-2018 00:00,149.49,332.19,49.35,105.08,142.35,76.55,10.38,1.43,13.3,0.95
12-02-2018 00:00,81.92,193.21,15.32,82.1,91.63,84.2,8.14,1.09,8.44,1.7
13-02-2018 00:00,176.58,264.96,38.32,83.95,119.27,90.84,8.81,1.6,12.71,0.88
14-02-2018 00:00,130.67,260.5,18.41,78.48,93.5,79.75,8.47,1.21,9.26,1.3
15-02-2018 00:00,178.17,298.88,18.04,81.94,95.75,80.43,9.47,1.34,9.89,1.24
16-02-2018 00:00,185.68,339.62,20.49,86.48,101.5,79.45,11.03,1.53,9.38,0.95
17-02-2018 00:00,188.92,338.75,18.08,87.56,97.96,67.64,12.18,1.45,9.67,0.92
18-02-2018 00:00,224.21,382.21,36.41,90.17,124.78,56.38,12.04,1.88,10.63,0.73
19-02-2018 00:00,302.92,512.12,52.7,154.05,117.25,46.79,14.49,2.25,13.13,0.6
20-02-2018 00:00,268.46,441.59,48.36,118.9,130.58,52.21,15.25,2.1,15.13,0.6
21-02-2018 00:00,255.25,512.67,69.63,206.27,105.48,43.29,14.66,3.11,26.88,0.47
22-02-2018 00:00,233.2,417.89,45.83,137.19,110.44,62.31,14.77,2.08,17.46,0.47
23-02-2018 00:00,235.57,421.64,37.14,119.51,100.89,68.43,16.3,2.03,15.62,0.41
24-02-2018 00:00,250.12,464.71,40.78,107.35,99.31,76.74,22.26,2.1,20.3,0.58
25-02-2018 00:00,164.21,290.96,13.45,52.18,65.21,102.4,17.72,1.58,17.36,1.14
26-02-2018 00:00,122.71,258.83,17.98,59.43,81.14,135.16,7.18,1.23,9.62,1.64
27-02-2018 00:00,151.42,291.54,31.05,70.41,105.82,105.13,6.9,1.49,9.15,0.94
28-02-2018 00:00,231.5,405.83,50.74,67.56,119.34,97.19,7.12,1.76,16.05,0.72
01-03-2018 00:00,183.33,350.46,38.74,57.61,98.28,72.34,7.52,1.62,11.13,0.73
02-03-2018 00:00,237.46,351.5,38.75,60.71,96.73,68.22,6.5,2.38,9.5,0.68
03-03-2018 00:00,144.17,269.71,21.5,53.23,75.97,64.7,6.95,1.43,7.37,0.54
04-03-2018 00:00,117.96,244.17,19.64,54.51,73.99,62.05,13,1.3,9.92,1.02
05-03-2018 00:00,124.54,247,18.43,51.29,69.86,56.22,14.4,1.25,8.66,1.1
06-03-2018 00:00,120.33,248.33,11.92,53.37,61.14,53.11,12.64,0.98,10.7,1.29
07-03-2018 00:00,143.62,276.88,23.18,69.1,73.81,49.65,16.73,1.39,12.34,1.12
08-03-2018 00:00,245.08,433.35,65.13,170.66,97.86,48.5,17.58,2.51,17.05,0.42
09-03-2018 00:00,208.42,375.54,39.21,101.34,91.5,55.72,21.47,1.82,11,0.92
10-03-2018 00:00,116.21,256,10.46,54.59,58.97,48.24,21.83,1.13,10.1,1.2
11-03-2018 00:00,146.79,278.5,15.99,57.87,65.16,49.51,19.74,1.33,10.47,0.88
12-03-2018 00:00,155.29,304.64,18.12,62.52,68.31,51.67,23.28,1.31,15.84,0.8
